Date,Employed,ChangedEmp,
31/12/1975,5678.70,669.40,
01/02/1981,6098.30,619.70,
01/02/1982,6405.60,831.60,
01/02/1983,6482.60,863.80,
01/02/1984,6342.00,662.70,
01/02/1985,6459.30,653.50,
01/02/1986,6667.50,764.90,
01/02/1987,6920.20,896.60,
01/02/1988,7094.40,856.80,
01/02/1989,7228.60,939.70,
01/02/1990,7585.80,1115.10,
01/02/1991,7792.20,1098.70,
01/02/1992,7740.60,851.50,
01/02/1993,7652.50,681.10,
28/02/1994,7760.80,793.90,
28/02/1996,8279.60,954.70,
28/02/1998,8418.70,885.50,
28/02/2000,8871.50,1063.90,
28/02/2002,9060.70,1045.40,
28/02/2004,9360.00,1053.70,
28/02/2006,9921.10,1151.80,
28/02/2008,10496.30,1207.40,
28/02/2010,10874.20,956.20,
28/02/2012,11343.50,1198.20,
28/02/2013,11538.20,1059.60,
28/02/2015,11705.80,923.70,
28/02/2016,11939.50,950.30,
